,Country_Name,Country_Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
0,Aruba,ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,6472.50202920407,7885.79654466735,9764.789978793291,11392.455810576399,12307.311737831398,13496.0033851411,14046.5039965619,14936.827039276,16241.046324711699,16439.3563609282,16586.068435754198,17927.749635208602,19078.3431907515,19356.2033894901,20620.7006259175,20669.0319688645,20436.8871286309,20833.7616116694,22569.9749851801,23300.0395575696,24045.272483354704,25835.132667628397,27084.7036903653,24630.4537141023,23512.602595639702,24985.9932813737,24713.6980451285,25025.0995629083,25533.569780398397,25796.380250638198,25239.6004109932,25630.266492206898,
1,Afghanistan,AFG,59.7731938409853,59.8608738790779,58.458014949543895,78.7063875407802,82.0952307131832,101.10830485337699,137.594352053111,160.89858887243798,129.108323102596,129.329712876621,156.518939442982,159.567578521888,135.31730831433,143.14464950008102,173.653764639169,186.510897140201,197.44550755114497,224.224797281134,247.354106347038,275.738197619262,272.65528565023203,264.11131745306096,,,,,,,,,,,,,,,,,,,,,179.42649446762402,190.684008786063,211.381969507195,242.03137917335098,263.733734678911,359.693480030525,364.660465388571,438.076034406941,543.303041863931,591.16234645088,641.872033785411,637.16504385598,613.856332882312,578.466352941708,547.228110150363,556.302138508508,520.896602719135
2,Angola,AGO,,,,,,,,,,,,,,,,,,,,,710.981648140027,642.383857952257,619.9613575311099,623.440584831564,637.715230700475,758.237576171151,685.270085316704,756.2618530274119,792.3031202186439,890.5541364590081,947.7041820853709,865.69272959239,656.361755960006,441.200673252825,328.673294707808,397.17945076947194,522.643807265256,514.295223223424,423.59366023208,387.784316047502,556.836318086553,527.333528536691,872.4944915928411,982.960899291112,1255.5640447149099,1902.42234554625,2599.56646397608,3121.99563726236,4080.94140992346,3122.78076649385,3587.88379824396,4615.46802807906,5100.095808097671,5254.8823379961605,5408.41049555432,4166.97968386501,3506.07288506966,4095.8129415585704,3432.38573600893
3,Albania,ALB,,,,,,,,,,,,,,,,,,,,,,,,,639.48473584821,639.865909445734,693.873474633887,674.793383069492,652.774321396566,697.995596576519,617.230435515505,336.586994504629,200.852219772323,367.27922507758103,586.416339644261,750.604449178826,1009.9776675210601,717.380567391734,813.790263555599,1033.2416930932002,1126.68331762741,1281.65939343074,1425.1248488836802,1846.11881331912,2373.57984371994,2673.78728253113,2972.7432646217603,3595.0371632151396,4370.5399247769,4114.13489916342,4094.3588163957897,4437.177794486521,4247.614342362921,4413.08288688408,4578.6679344615895,3952.83078116586,4124.108543083161,4532.889197851429,5253.63006411357
4,Andorra,AND,,,,,,,,,,,3238.5568497732897,3498.1736515232,4217.17358114253,5342.168560442079,6319.73903384837,7169.101005595559,7152.375133610509,7751.37021575891,9129.7061851808,11820.8493928325,12377.4116456877,10372.232834745,9610.26630831575,8022.654781281609,7728.90669456943,7774.3938290347805,10361.8159820255,12616.167565929,14304.356964578501,15166.437850753999,18878.5059692988,19532.5401504525,20547.7117897897,16516.4710272204,16234.809010201201,18461.0648581512,19017.1745902241,18353.0597218473,18894.5214963227,19261.7105038886,21936.530101470802,22228.8464928922,24741.4935704562,32776.4422698769,38503.479614485695,41282.0201219785,43747.6918489433,48582.220883023605,47785.089272664,43338.8667579064,39736.3540626699,41100.729938221404,38392.9439012206,40626.751632022795,42300.3341276669,36039.6534962289,37224.1089162924,39134.3933706717,42029.7627372989
5,Arab World,ARB,,,,,,,,,224.086127148429,239.30421092853697,262.119821974599,295.181254272602,342.668705051676,422.034191360383,776.209780144657,834.706413476241,1005.50718607176,1121.4820887094,1192.10150344579,1561.77159894963,2050.7994712089603,2048.5772754066697,1862.7729354532198,1697.12927811331,1670.3729323063699,1604.9961453284197,1487.9207084247,1541.4247781515699,1473.93140467874,1503.39261682445,2007.1633247652398,1926.4905606452899,2024.7210692228,1994.34650759925,1986.81152760661,2069.98762726445,2233.19182828653,2316.39337105926,2186.74982499129,2330.19183269656,2603.87206925193,2508.21218738284,2474.77979658614,2734.31894077444,3132.32781192607,3762.76708708548,4356.152315568929,4959.915010011289,6143.17015159949,5182.363881308571,5945.67855757046,6889.09180617429,7503.17418436683,7551.2828336229795,7497.55642733203,6459.10937930651,6202.89045922454,6285.21522795013,6626.135356710511
6,United Arab Emirates,ARE,,,,,,,,,,,,,,,,26847.794380277202,30118.137783385097,33823.3196498568,28456.7374380931,33512.741325999,42764.456663990095,44987.2097966579,40026.1662502465,34843.1028997611,32309.8077436844,29720.919473463302,23467.976669199703,23726.1523330469,22295.1461115987,24028.192878011603,27729.4664216648,26612.3355369691,26420.8727534823,25596.6922747864,25847.9261239252,27222.0358561647,28975.0229000791,29512.6637440248,26899.601766231,28470.8378632746,33291.419366352995,31280.7842785952,31567.4737120596,33499.0937513705,36333.2498445266,39365.3359152723,41907.405655967996,41809.516382842005,44498.9342301633,32024.1816031187,33893.303514039,39194.6766208456,40976.499711245495,42412.6302780364,43751.8388860721,38663.3838066363,38141.846758549196,40325.3820005643,43004.9486462341
7,Argentina,ARG,,,1155.89017025099,850.30473690206,1173.23821277123,1279.1134321453098,1272.80297767396,1062.54355190601,1141.0804807928998,1329.0586592156599,1322.59080368944,1372.3743432739,1408.86520848881,2097.02257902742,2844.86364753884,2027.3371238474601,1948.22468587272,2129.7082808990303,2146.3644830986605,2520.92163373012,2758.83521210768,2776.32199028147,2927.89756021605,3553.3777516627897,2659.70860023312,2926.1269695140004,3613.62170927636,3562.87560174521,3985.19121035849,2383.86769311311,4333.4829731214595,5735.36032735223,6823.5376160468,6969.11808781005,7483.1396817084415,7408.70823818765,7721.35454273963,8213.12719994479,8289.505729331178,7774.73620280001,7708.1009960541405,7208.3715665121,2593.40415042466,3349.8061244115,4277.72135064389,5109.85132522621,5919.012037077529,7245.44831728945,9020.873098071941,8225.13717626412,10385.964431955501,12848.8641969705,13082.664325572,13080.2547323367,12334.7982453893,13789.060424772,12790.2424732447,14591.8633810541,11652.566289748702
8,Armenia,ARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,637.854659491342,590.121047267559,369.632616583198,357.20327774567903,400.515238080735,456.37504866380897,504.058559449916,523.2830680407479,609.172437516102,597.432514707894,622.742139063498,694.42322774468,783.2406986470419,930.127321851799,1191.91901957402,1643.7530293610998,2158.1436971017897,3139.27749894333,4010.8572425522602,2994.3425444850895,3218.37270660563,3525.8047467115293,3681.8574560431,3838.1858014838203,3986.2316237671293,3607.29669672271,3591.8292755302296,3914.5012684128,4212.0709427293705
9,American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8700.067704807041,8856.547458994351,8578.94472277609,8444.981699741451,8391.56106721708,8909.449156172359,9792.66680581646,11961.2582255703,10271.2245225485,10294.3022651052,11568.793001239499,11505.393714213898,11525.156387230902,11843.3311832581,11714.895678226101,11398.7774181949,
