,Country_Name,Country_Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
0,Aruba,ABW,65.66199999999999,66.074,66.444,66.78699999999999,67.113,67.435,67.762,68.095,68.436,68.78399999999999,69.14,69.498,69.851,70.191,70.51899999999999,70.833,71.14,71.441,71.736,72.023,72.293,72.538,72.751,72.929,73.071,73.181,73.262,73.325,73.378,73.425,73.468,73.509,73.544,73.57300000000001,73.598,73.622,73.646,73.671,73.7,73.738,73.78699999999999,73.85300000000001,73.937,74.038,74.156,74.28699999999999,74.429,74.57600000000001,74.725,74.872,75.017,75.158,75.29899999999999,75.441,75.583,75.725,75.868,76.01
1,Afghanistan,AFG,32.446,32.961999999999996,33.471,33.971,34.463,34.948,35.43,35.914,36.403,36.9,37.409,37.93,38.461,39.003,39.558,40.128,40.715,41.32,41.943999999999996,42.585,43.244,43.923,44.617,45.324,46.04,46.761,47.486000000000004,48.211000000000006,48.93,49.64,50.331,50.998999999999995,51.641000000000005,52.256,52.842,53.398,53.924,54.424,54.906000000000006,55.376000000000005,55.841,56.308,56.784,57.271,57.772,58.29,58.826,59.375,59.93,60.483999999999995,61.028,61.553000000000004,62.053999999999995,62.525,62.966,63.376999999999995,63.763000000000005,64.13
2,Angola,AGO,37.524,37.811,38.113,38.43,38.76,39.102,39.454,39.813,40.178000000000004,40.546,40.914,41.282,41.65,42.016000000000005,42.373999999999995,42.721000000000004,43.053000000000004,43.367,43.66,43.931000000000004,44.178000000000004,44.403999999999996,44.611000000000004,44.799,44.966,45.107,45.213,45.283,45.317,45.324,45.306000000000004,45.271,45.23,45.201,45.201,45.246,45.35,45.519,45.763000000000005,46.093,46.522,47.059,47.702,48.44,49.263000000000005,50.165,51.143,52.177,53.243,54.31100000000001,55.35,56.33,57.236000000000004,58.053999999999995,58.776,59.398,59.925,60.379
3,Albania,ALB,62.283,63.301,64.19,64.914,65.46300000000001,65.85,66.11,66.304,66.487,66.689,66.935,67.237,67.582,67.953,68.343,68.736,69.11,69.44800000000001,69.742,69.991,70.208,70.416,70.635,70.876,71.134,71.388,71.605,71.76,71.843,71.86,71.836,71.803,71.80199999999999,71.86,71.992,72.205,72.495,72.83800000000001,73.208,73.587,73.955,74.288,74.579,74.828,75.039,75.22800000000001,75.423,75.646,75.91199999999999,76.221,76.562,76.914,77.252,77.554,77.813,78.025,78.194,78.333
5,Arab World,ARB,46.54690888578379,47.1416208779016,47.731783324992,48.3204319602403,48.9100185353286,49.496478440671,50.0729468330093,50.6344153267842,51.182099695510104,51.722023609061296,52.2642104338812,52.8229318031927,53.4068873108735,54.0158543893538,54.642866584549104,55.2779884570801,55.909612321770894,56.5280764080552,57.13390024746101,57.7348595287564,58.345023434312104,58.97735931871821,59.635997315382205,60.3162771302123,61.00376109874951,61.6768157542394,62.3141202992932,62.901345839968606,63.4296870021948,63.898981417554204,64.35157696811089,64.73634052274829,65.0438519725103,65.41490734701611,65.7856525186418,66.1960998468045,66.554102867301,66.8971449635783,67.21809146260951,67.517688947424,67.8005911153485,68.07251851705941,68.34024599404921,68.6105053811856,68.8861877240216,69.1646828025353,69.4394591943507,69.7015546491534,69.94217427062321,70.1575600376968,70.349916226204,70.5287748030398,70.7038265981398,70.8822537420776,71.06429243038221,71.249571410287,71.4364968350268,71.62252632766871
6,United Arab Emirates,ARE,51.537,52.56,53.573,54.571999999999996,55.555,56.523,57.482,58.431999999999995,59.375,60.303999999999995,61.215,62.099,62.949,63.75899999999999,64.525,65.244,65.916,66.545,67.137,67.692,68.21300000000001,68.70100000000001,69.158,69.585,69.986,70.363,70.717,71.04899999999999,71.361,71.657,71.939,72.208,72.46600000000001,72.715,72.957,73.194,73.428,73.657,73.883,74.10600000000001,74.327,74.544,74.758,74.968,75.17399999999999,75.376,75.57300000000001,75.767,75.957,76.145,76.332,76.521,76.711,76.903,77.095,77.285,77.47,77.64699999999999
7,Argentina,ARG,65.055,65.176,65.26899999999999,65.348,65.426,65.518,65.64,65.796,65.98899999999999,66.219,66.483,66.774,67.078,67.383,67.686,67.985,68.283,68.585,68.891,69.197,69.49600000000001,69.777,70.033,70.262,70.46600000000001,70.65,70.825,71.001,71.186,71.384,71.594,71.813,72.032,72.24600000000001,72.453,72.65100000000001,72.843,73.029,73.21300000000001,73.396,73.57600000000001,73.755,73.932,74.107,74.28,74.45100000000001,74.62,74.78699999999999,74.952,75.116,75.278,75.439,75.598,75.756,75.913,76.068,76.221,76.372
8,Armenia,ARM,65.972,66.403,66.83800000000001,67.277,67.71600000000001,68.153,68.58800000000001,69.016,69.42699999999999,69.809,70.14399999999999,70.41199999999999,70.605,70.723,70.775,70.783,70.783,70.798,70.83800000000001,70.89699999999999,70.937,70.91,70.77600000000001,70.51899999999999,70.15,69.69800000000001,69.205,68.732,68.332,68.038,67.87899999999999,67.87,67.99,68.218,68.538,68.938,69.404,69.91199999999999,70.434,70.944,71.40899999999999,71.8,72.112,72.348,72.513,72.626,72.71600000000001,72.815,72.946,73.118,73.331,73.572,73.82,74.056,74.273,74.467,74.64,74.797
10,Antigua and Barbuda,ATG,61.968,62.523,63.049,63.54,63.992,64.40100000000001,64.762,65.081,65.363,65.616,65.847,66.066,66.28,66.498,66.727,66.975,67.244,67.533,67.837,68.154,68.482,68.818,69.156,69.491,69.82,70.137,70.44,70.72800000000001,71.00399999999999,71.267,71.52,71.765,72.006,72.247,72.48899999999999,72.732,72.977,73.222,73.465,73.705,73.94,74.171,74.395,74.613,74.821,75.01899999999999,75.204,75.376,75.535,75.683,75.82300000000001,75.956,76.087,76.218,76.34899999999999,76.483,76.617,76.752
11,Australia,AUS,70.8170731707317,70.9731707317073,70.9424390243903,70.91170731707321,70.88097560975609,70.850243902439,70.819512195122,70.8692682926829,70.9190243902439,70.9687804878049,71.01853658536591,71.0682926829268,71.4575609756098,71.84682926829271,72.2360975609756,72.6253658536586,73.01463414634149,73.34439024390241,73.6741463414634,74.00390243902442,74.3336585365854,74.66341463414629,74.9048780487805,75.14634146341459,75.3878048780488,75.62926829268291,75.87073170731709,76.1517073170732,76.4326829268293,76.71365853658541,76.9946341463415,77.2756097560976,77.37804878048779,77.87804878048779,77.87804878048779,77.82926829268291,78.07804878048779,78.4804878048781,78.63170731707321,78.9317073170732,79.2341463414634,79.6341463414634,79.9365853658537,80.2390243902439,80.490243902439,80.84146341463409,81.0414634146342,81.2926829268293,81.39512195121951,81.54390243902441,81.6951219512195,81.89512195121951,82.04634146341459,82.14878048780491,82.3,82.4,82.44878048780491,82.4975609756098
