Country_Code,Country_Name,Year,Value
ABW,Aruba,1960,65.66199999999999
AFG,Afghanistan,1960,32.446
AGO,Angola,1960,37.524
ALB,Albania,1960,62.283
ARB,Arab World,1960,46.54690888578379
ARE,United Arab Emirates,1960,51.537
ARG,Argentina,1960,65.055
ARM,Armenia,1960,65.972
ATG,Antigua and Barbuda,1960,61.968
AUS,Australia,1960,70.8170731707317
AUT,Austria,1960,68.5856097560976
AZE,Azerbaijan,1960,61.034
BDI,Burundi,1960,41.281000000000006
BEL,Belgium,1960,69.70195121951221
BEN,Benin,1960,37.271
BFA,Burkina Faso,1960,34.431999999999995
BGD,Bangladesh,1960,45.379
BGR,Bulgaria,1960,69.2475609756098
BHR,Bahrain,1960,51.869
BHS,"Bahamas, The",1960,64.74
BIH,Bosnia and Herzegovina,1960,60.353
BLR,Belarus,1960,67.7080975609756
BLZ,Belize,1960,59.981
BMU,Bermuda,1960,
BOL,Bolivia,1960,41.82
BRA,Brazil,1960,54.143
BRB,Barbados,1960,64.472
BRN,Brunei Darussalam,1960,54.81
BTN,Bhutan,1960,34.525999999999996
BWA,Botswana,1960,49.178999999999995
CAF,Central African Republic,1960,36.249
CAN,Canada,1960,71.1331707317073
CEB,Central Europe and the Baltics,1960,67.8213886391755
CHE,Switzerland,1960,71.3134146341463
CHI,Channel Islands,1960,70.73899999999999
CHL,Chile,1960,57.218999999999994
CHN,China,1960,43.725
CIV,Cote d'Ivoire,1960,36.095
CMR,Cameroon,1960,41.785
COD,"Congo, Dem. Rep.",1960,41.098
COG,"Congo, Rep.",1960,45.721000000000004
COL,Colombia,1960,57.269
COM,Comoros,1960,41.446999999999996
CPV,Cabo Verde,1960,48.461000000000006
CRI,Costa Rica,1960,60.381
CSS,Caribbean small states,1960,62.74629519329479
CUB,Cuba,1960,63.833999999999996
CUW,Curacao,1960,
CYM,Cayman Islands,1960,
CYP,Cyprus,1960,69.618
CZE,Czech Republic,1960,70.3487804878049
DEU,Germany,1960,69.3100243902439
