Year,Aruba
1960,65.662
1961,66.074
1962,66.444
1963,66.787
1964,67.113
1965,67.435
1966,67.762
1967,68.095
1968,68.436
1969,68.784
1970,69.14
1971,69.498
1972,69.851
1973,70.191
1974,70.519
1975,70.833
1976,71.14
1977,71.441
1978,71.736
1979,72.023
1980,72.293
1981,72.538
1982,72.751
1983,72.929
1984,73.071
1985,73.181
1986,73.262
1987,73.325
1988,73.378
1989,73.425
1990,73.468
1991,73.509
1992,73.544
1993,73.573
1994,73.598
1995,73.622
1996,73.646
1997,73.671
1998,73.7
1999,73.738
2000,73.787
2001,73.853
2002,73.937
2003,74.038
2004,74.156
2005,74.287
2006,74.429
2007,74.576
2008,74.725
2009,74.872
2010,75.017
2011,75.158
2012,75.299
2013,75.441
2014,75.583
2015,75.725
2016,75.868
2017,76.01
Country_Name,Afghanistan
1960,32.446
1961,32.962
1962,33.471
1963,33.971
1964,34.463
1965,34.948
1966,35.43
1967,35.914
1968,36.403
1969,36.9
1970,37.409
1971,37.93
1972,38.461
1973,39.003
1974,39.558
1975,40.128
1976,40.715
1977,41.32
1978,41.944
1979,42.585
1980,43.244
1981,43.923
1982,44.617
1983,45.324
1984,46.04
1985,46.761
1986,47.486
1987,48.211
1988,48.93
1989,49.64
1990,50.331
1991,50.999
1992,51.641
1993,52.256
1994,52.842
1995,53.398
1996,53.924
1997,54.424
1998,54.906
1999,55.376
2000,55.841
2001,56.308
2002,56.784
2003,57.271
2004,57.772
2005,58.29
2006,58.826
2007,59.375
2008,59.93
2009,60.484
2010,61.028
2011,61.553
2012,62.054
2013,62.525
2014,62.966
2015,63.377
2016,63.763
2017,64.13
Country_Name,Angola
1960,37.524
1961,37.811
1962,38.113
1963,38.43
1964,38.76
1965,39.102
1966,39.454
1967,39.813
1968,40.178
1969,40.546
1970,40.914
1971,41.282
1972,41.65
1973,42.016
1974,42.374
1975,42.721
1976,43.053
1977,43.367
1978,43.66
1979,43.931
1980,44.178
1981,44.404
1982,44.611
1983,44.799
1984,44.966
1985,45.107
1986,45.213
1987,45.283
1988,45.317
1989,45.324
1990,45.306
1991,45.271
1992,45.23
1993,45.201
1994,45.201
1995,45.246
1996,45.35
1997,45.519
1998,45.763
1999,46.093
2000,46.522
2001,47.059
2002,47.702
2003,48.44
2004,49.263
2005,50.165
2006,51.143
2007,52.177
2008,53.243
2009,54.311
2010,55.35
2011,56.33
2012,57.236
2013,58.054
2014,58.776
2015,59.398
2016,59.925
2017,60.379
Country_Name,Albania
1960,62.283
1961,63.301
1962,64.19
1963,64.914
1964,65.463
1965,65.85
1966,66.11
1967,66.304
1968,66.487
1969,66.689
1970,66.935
1971,67.237
1972,67.582
1973,67.953
1974,68.343
1975,68.736
1976,69.11
1977,69.448
1978,69.742
1979,69.991
1980,70.208
1981,70.416
1982,70.635
1983,70.876
1984,71.134
1985,71.388
1986,71.605
1987,71.76
1988,71.843
1989,71.86
